,Code,Company,Exchange,Ex Code
195,GWJ21,Gold Kilo {Apr 21},New York Commodity Exchange,COMEX
196,GWK21,Gold Kilo {May 21},New York Commodity Exchange,COMEX
197,GWM21,Gold Kilo {Jun 21},New York Commodity Exchange,COMEX
198,GWQ21,Gold Kilo {Aug 21},New York Commodity Exchange,COMEX
199,GWV21,Gold Kilo {Oct 21},New York Commodity Exchange,COMEX
200,GWZ21,Gold Kilo {Dec 21},New York Commodity Exchange,COMEX
201,AL,Aluminum,New York Commodity Exchange,COMEX
202,AL.C,Aluminum Continuation,New York Commodity Exchange,COMEX
203,ALF22,Aluminum {Jan 22},New York Commodity Exchange,COMEX
204,ALG21,Aluminum {Feb 21},New York Commodity Exchange,COMEX
205,ALG22,Aluminum {Feb 22},New York Commodity Exchange,COMEX
206,ALH21,Aluminum {Mar 21},New York Commodity Exchange,COMEX
207,ALH22,Aluminum {Mar 22},New York Commodity Exchange,COMEX
208,ALJ21,Aluminum {Apr 21},New York Commodity Exchange,COMEX
209,ALK21,Aluminum {May 21},New York Commodity Exchange,COMEX
210,ALM21,Aluminum {Jun 21},New York Commodity Exchange,COMEX
211,ALN21,Aluminum {Jul 21},New York Commodity Exchange,COMEX
212,ALQ21,Aluminum {Aug 21},New York Commodity Exchange,COMEX
213,ALU21,Aluminum {Sep 21},New York Commodity Exchange,COMEX
214,ALV21,Aluminum {Oct 21},New York Commodity Exchange,COMEX
215,ALX21,Aluminum {Nov 21},New York Commodity Exchange,COMEX
216,ALZ21,Aluminum {Dec 21},New York Commodity Exchange,COMEX
217,AL,Aluminum,New York Commodity Exchange,COMEX
218,AL.C,Aluminum Continuation,New York Commodity Exchange,COMEX
219,ALF22,Aluminum {Jan 22},New York Commodity Exchange,COMEX
220,ALG21,Aluminum {Feb 21},New York Commodity Exchange,COMEX
221,ALG22,Aluminum {Feb 22},New York Commodity Exchange,COMEX
222,ALH21,Aluminum {Mar 21},New York Commodity Exchange,COMEX
223,ALH22,Aluminum {Mar 22},New York Commodity Exchange,COMEX
224,ALJ21,Aluminum {Apr 21},New York Commodity Exchange,COMEX
225,ALK21,Aluminum {May 21},New York Commodity Exchange,COMEX
226,ALM21,Aluminum {Jun 21},New York Commodity Exchange,COMEX
227,ALN21,Aluminum {Jul 21},New York Commodity Exchange,COMEX
228,ALQ21,Aluminum {Aug 21},New York Commodity Exchange,COMEX
229,ALU21,Aluminum {Sep 21},New York Commodity Exchange,COMEX
230,ALV21,Aluminum {Oct 21},New York Commodity Exchange,COMEX
231,ALX21,Aluminum {Nov 21},New York Commodity Exchange,COMEX
232,ALZ21,Aluminum {Dec 21},New York Commodity Exchange,COMEX
233,AL,Aluminum,New York Commodity Exchange,COMEX
234,AL.C,Aluminum Continuation,New York Commodity Exchange,COMEX
235,ALF22,Aluminum {Jan 22},New York Commodity Exchange,COMEX
236,ALG21,Aluminum {Feb 21},New York Commodity Exchange,COMEX
237,ALG22,Aluminum {Feb 22},New York Commodity Exchange,COMEX
238,ALH21,Aluminum {Mar 21},New York Commodity Exchange,COMEX
239,ALH22,Aluminum {Mar 22},New York Commodity Exchange,COMEX
240,ALJ21,Aluminum {Apr 21},New York Commodity Exchange,COMEX
241,ALK21,Aluminum {May 21},New York Commodity Exchange,COMEX
242,ALM21,Aluminum {Jun 21},New York Commodity Exchange,COMEX
243,ALN21,Aluminum {Jul 21},New York Commodity Exchange,COMEX
244,ALQ21,Aluminum {Aug 21},New York Commodity Exchange,COMEX
245,ALU21,Aluminum {Sep 21},New York Commodity Exchange,COMEX
246,ALV21,Aluminum {Oct 21},New York Commodity Exchange,COMEX
247,ALX21,Aluminum {Nov 21},New York Commodity Exchange,COMEX
248,ALZ21,Aluminum {Dec 21},New York Commodity Exchange,COMEX
249,AL,Aluminum,New York Commodity Exchange,COMEX
250,AL.C,Aluminum Continuation,New York Commodity Exchange,COMEX
251,ALF22,Aluminum {Jan 22},New York Commodity Exchange,COMEX
252,ALG21,Aluminum {Feb 21},New York Commodity Exchange,COMEX
253,ALG22,Aluminum {Feb 22},New York Commodity Exchange,COMEX
254,ALH21,Aluminum {Mar 21},New York Commodity Exchange,COMEX
255,ALH22,Aluminum {Mar 22},New York Commodity Exchange,COMEX
256,ALJ21,Aluminum {Apr 21},New York Commodity Exchange,COMEX
257,ALK21,Aluminum {May 21},New York Commodity Exchange,COMEX
258,ALM21,Aluminum {Jun 21},New York Commodity Exchange,COMEX
259,ALN21,Aluminum {Jul 21},New York Commodity Exchange,COMEX
260,ALQ21,Aluminum {Aug 21},New York Commodity Exchange,COMEX
261,ALU21,Aluminum {Sep 21},New York Commodity Exchange,COMEX
262,ALV21,Aluminum {Oct 21},New York Commodity Exchange,COMEX
263,ALX21,Aluminum {Nov 21},New York Commodity Exchange,COMEX
264,ALZ21,Aluminum {Dec 21},New York Commodity Exchange,COMEX
265,HG,High Grade Copper,New York Commodity Exchange,COMEX
266,HG.C,High Grade Copper Continuation,New York Commodity Exchange,COMEX
267,HGF22,High Grade Copper {Jan 22},New York Commodity Exchange,COMEX
